iter	RMSE
0	15.4325632
1	15.27534678
2	15.14014722
3	15.00596912
4	14.88170257
5	14.77126826
6	14.6727764
7	14.57669614
8	14.4983797
9	14.4161079
10	14.34491322
11	14.26882871
12	14.21106722
13	14.1480067
14	14.10204289
15	14.04907186
16	14.00119842
17	13.95531061
18	13.91216952
19	13.87821918
20	13.84177849
21	13.81805927
22	13.77861411
23	13.75525438
24	13.72405445
25	13.69321074
26	13.66008899
27	13.63763176
28	13.617078
29	13.59946957
30	13.57611357
31	13.55830091
32	13.54144835
33	13.5313292
34	13.52157008
35	13.50662021
36	13.49085784
37	13.47990343
38	13.46903321
39	13.45097255
40	13.43712876
41	13.42755332
42	13.41140641
43	13.39992468
44	13.38513035
45	13.37517917
46	13.36738137
47	13.35294149
48	13.34542299
49	13.32584906
50	13.31828179
51	13.3071293
52	13.29423702
53	13.28992598
54	13.28335735
55	13.26668572
56	13.25491665
57	13.24746362
58	13.24257071
59	13.22477809
60	13.21453572
61	13.20321168
62	13.19253626
63	13.18696517
64	13.17888361
65	13.16788871
66	13.15749847
67	13.15350393
68	13.14798449
69	13.1442505
70	13.1332587
71	13.12473719
72	13.11911696
73	13.11472396
74	13.10472152
75	13.10196924
76	13.09498334
77	13.08911218
78	13.08464094
79	13.07884165
80	13.07125653
81	13.06755302
82	13.05651391
83	13.04882221
84	13.04152315
85	13.03453284
86	13.03050458
87	13.02389044
88	13.01942052
89	13.01136763
90	13.00635533
91	13.00281687
92	12.99914518
93	12.99713457
94	12.98499056
95	12.98084335
96	12.97620046
97	12.97017015
98	12.96582399
99	12.96140434
100	12.95725377
101	12.95258129
102	12.95094821
103	12.94616757
104	12.94367408
105	12.94049895
106	12.93664536
107	12.92914701
108	12.92454796
109	12.92185596
110	12.91716643
111	12.91112488
112	12.906853
113	12.90272119
114	12.89996848
115	12.89594569
116	12.89025854
117	12.88526634
118	12.87644426
119	12.86990315
120	12.8670514
121	12.8600933
122	12.85267854
123	12.84582804
124	12.84311411
125	12.83967405
126	12.83483457
127	12.82930586
128	12.8252198
129	12.82200569
130	12.81808248
131	12.81388041
132	12.81070556
133	12.80711814
134	12.79954145
135	12.79641474
136	12.79292507
137	12.78899098
138	12.78381853
139	12.78083423
140	12.77811807
141	12.77403956
142	12.76654861
143	12.76065146
144	12.75326818
145	12.74780629
146	12.74412168
147	12.73920312
148	12.73132348
149	12.72550575
150	12.720486
151	12.71448982
152	12.71207153
153	12.70773548
154	12.70270138
155	12.69735717
156	12.689983
157	12.6865827
158	12.68241732
159	12.67811422
160	12.67409526
161	12.66995858
162	12.6667739
163	12.65896035
164	12.6539284
165	12.64885497
166	12.64379975
167	12.63846652
168	12.63385738
169	12.63041553
170	12.6245237
171	12.62139038
172	12.61569475
173	12.61109859
174	12.60832837
175	12.60568847
176	12.60110069
177	12.59467162
178	12.58802909
179	12.58369486
180	12.58066924
181	12.57687356
182	12.57128891
183	12.56687968
184	12.5595267
185	12.55267867
186	12.54756579
187	12.54396485
188	12.53810092
189	12.53323102
190	12.5279909
191	12.52197139
192	12.51659581
193	12.51184642
194	12.50706338
195	12.50230958
196	12.49939241
197	12.49742792
198	12.49218403
199	12.48796162
200	12.48423949
201	12.47964708
202	12.47622847
203	12.46892228
204	12.46611303
205	12.46211841
206	12.45944785
207	12.45495221
208	12.4510429
209	12.44614292
210	12.44200215
211	12.43774261
212	12.43236512
213	12.42894311
214	12.42446069
215	12.42128152
216	12.41773719
217	12.41108989
218	12.40647044
219	12.40351235
220	12.40056063
221	12.3960847
222	12.39177925
223	12.3892247
224	12.38585069
225	12.38299901
226	12.37918925
227	12.37448049
228	12.37031875
229	12.36595925
230	12.36314487
231	12.35595776
232	12.35066555
233	12.34588936
234	12.34207344
235	12.33875376
236	12.33727593
237	12.33437922
238	12.32820212
239	12.32459719
240	12.32084446
241	12.31859303
242	12.3127632
243	12.30912048
244	12.30635767
245	12.30414821
246	12.29788519
247	12.29498105
248	12.29135679
249	12.28843233
250	12.28412661
251	12.2816384
252	12.27916598
253	12.27682469
254	12.2740832
255	12.26903371
256	12.26697516
257	12.2641284
258	12.26049753
259	12.25775974
260	12.25403835
261	12.25191521
262	12.24742469
263	12.24414904
264	12.23901159
265	12.23686066
266	12.23500815
267	12.23271117
268	12.23096915
269	12.22961892
270	12.22484889
271	12.22182815
272	12.21879953
273	12.2173416
274	12.21320181
275	12.20885305
276	12.20582051
277	12.20177159
278	12.19865409
279	12.19499421
280	12.19203048
281	12.18854186
282	12.18402231
283	12.18051624
284	12.17767805
285	12.17392644
286	12.17096784
287	12.16796246
288	12.16642694
289	12.16367404
290	12.16209906
291	12.16081207
292	12.15801111
293	12.15646175
294	12.15272819
295	12.14986582
296	12.14555814
297	12.14277691
298	12.13994552
299	12.13607343
300	12.13354041
301	12.13178782
302	12.12983748
303	12.12883985
304	12.12575289
305	12.12340897
306	12.1199169
307	12.11897719
308	12.11490353
309	12.11159915
310	12.10965909
311	12.10721012
312	12.10251283
313	12.09990291
314	12.09751697
315	12.095667
316	12.09245437
317	12.08904548
318	12.08529819
319	12.08021917
320	12.07774993
321	12.07321645
322	12.07060187
323	12.06617132
324	12.06393144
325	12.0611762
326	12.05744944
327	12.05250331
328	12.0503623
329	12.04735293
330	12.04427426
331	12.04124072
332	12.03755637
333	12.03485145
334	12.03128314
335	12.02880016
336	12.02614675
337	12.02286342
338	12.02132254
339	12.01714781
340	12.01550119
341	12.01249975
342	12.00881413
343	12.0052606
344	12.00184636
345	11.99967974
346	11.99700631
347	11.99639597
348	11.99401577
349	11.99159851
350	11.98845877
351	11.98496182
352	11.98198346
353	11.97985368
354	11.97585579
355	11.97391873
356	11.96883701
357	11.96768366
358	11.96505982
359	11.96353259
360	11.96177009
361	11.95877425
362	11.95740381
363	11.9541025
364	11.95152196
365	11.94921193
366	11.94546948
367	11.94235324
368	11.93954935
369	11.93689675
370	11.93475895
371	11.93299467
372	11.92974478
373	11.92860794
374	11.92600331
375	11.92410341
376	11.92115573
377	11.92068958
378	11.91735584
379	11.91468938
380	11.91057403
381	11.9098514
382	11.9081556
383	11.90675335
384	11.90300512
385	11.89991668
386	11.8990063
387	11.89589229
388	11.89442999
389	11.89241021
390	11.88973354
391	11.8879953
392	11.88659145
393	11.88324949
394	11.88082973
395	11.87814392
396	11.87575958
397	11.8738647
398	11.87295195
399	11.87128823
400	11.86939473
401	11.86819618
402	11.86637984
403	11.86452527
404	11.86126244
405	11.85940151
406	11.85686781
407	11.85446044
408	11.85145021
409	11.85028976
410	11.84782569
411	11.84409914
412	11.84296125
413	11.84044585
414	11.83744474
415	11.83434627
416	11.83194763
417	11.82901117
418	11.82843793
419	11.8251709
420	11.82322181
421	11.82045699
422	11.81678088
423	11.81569091
424	11.81378362
425	11.81327351
426	11.81206465
427	11.80889257
428	11.80638514
429	11.80295101
430	11.79960264
431	11.79752518
432	11.79326546
433	11.7910023
434	11.78881604
435	11.78745564
436	11.78385764
437	11.78119638
438	11.78070716
439	11.77778965
440	11.77435976
441	11.77195829
442	11.77018058
443	11.76743054
444	11.76556774
445	11.76321551
446	11.76030843
447	11.75720247
448	11.75562234
449	11.75313078
450	11.75007816
451	11.74792029
452	11.74436514
453	11.74261086
454	11.74131291
455	11.73973345
456	11.73729928
457	11.73502829
458	11.73194145
459	11.72933412
460	11.72733204
461	11.72600573
462	11.72273841
463	11.72046762
464	11.71914082
465	11.71827433
466	11.71606804
467	11.7144999
468	11.71193295
469	11.70868226
470	11.70705269
471	11.70405412
472	11.70085935
473	11.69904139
474	11.69637942
475	11.69390732
476	11.69193141
477	11.6911376
478	11.68845744
479	11.68587668
480	11.68414822
481	11.6821083
482	11.67943527
483	11.67733575
484	11.67316018
485	11.67119412
486	11.66827327
487	11.66789755
488	11.66625673
489	11.66495904
490	11.66440823
491	11.6621694
492	11.66102518
493	11.6605741
494	11.65815183
495	11.65603973
496	11.65571135
497	11.65501214
498	11.65282721
499	11.6496529
500	11.64724727
501	11.64691547
502	11.64349947
